,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
1578,"('MR2_input_a == 48.0', 'MR2_input_b == 24.0', 'input_b == 4')",3,"('MR2_checker == No-violated', 'input_a == 8')",2,1.0,0.01,10.0,900000000.0
1579,"('MR2_input_a == 48.0', 'MR2_input_b == 24.0', 'input_a == 8', 'input_b == 4')",4,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1580,"('MR2_checker == No-violated', 'MR2_input_b == 24.0', 'input_a == 8', 'input_b == 4')",4,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
1581,"('MR2_input_a == 48.0', 'MR2_input_b == 24.0', 'input_a == 8')",3,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.01,10.0,900000000.0
1582,"('MR2_checker == No-violated', 'input_a == 8', 'input_b == 4')",3,"('MR2_input_a == 48.0', 'MR2_input_b == 24.0')",2,1.0,0.01,100.0,989999999.9999999
1583,"('MR2_checker == No-violated', 'MR2_input_b == 24.0', 'input_a == 8')",3,"('MR2_input_a == 48.0', 'input_b == 4')",2,1.0,0.01,100.0,989999999.9999999
1584,"('MR2_checker == No-violated', 'MR2_input_b == 30.0', 'input_a == 7')",3,"('MR2_input_a == 42.0', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
1585,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'input_b == 5')",3,"('MR2_input_b == 30.0', 'input_a == 7')",2,1.0,0.01,100.0,989999999.9999999
1586,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'MR2_input_b == 30.0')",3,"('input_a == 7', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
1587,"('input_a == 7', 'input_b == 5')",2,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'MR2_input_b == 30.0')",3,1.0,0.01,100.0,989999999.9999999
1588,"('MR2_input_b == 30.0', 'input_a == 7')",2,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'input_b == 5')",3,1.0,0.01,100.0,989999999.9999999
1589,"('MR2_input_a == 42.0', 'input_b == 5')",2,"('MR2_checker == No-violated', 'MR2_input_b == 30.0', 'input_a == 7')",3,1.0,0.01,100.0,989999999.9999999
1590,"('MR2_input_a == 42.0', 'MR2_input_b == 30.0')",2,"('MR2_checker == No-violated', 'input_a == 7', 'input_b == 5')",3,1.0,0.01,100.0,989999999.9999999
1591,"('MR2_input_b == 30.0',)",1,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
1592,"('MR2_input_b == 30.0', 'input_a == 9', 'input_b == 5')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1593,"('MR2_checker == No-violated', 'input_a == 9', 'input_b == 5')",3,"('MR2_input_b == 30.0',)",1,1.0,0.01,10.0,900000000.0
1594,"('MR2_checker == No-violated', 'MR2_input_b == 30.0', 'input_a == 9')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
1595,"('input_a == 9', 'input_b == 5')",2,"('MR2_checker == No-violated', 'MR2_input_b == 30.0')",2,1.0,0.01,10.0,900000000.0
1596,"('MR2_input_b == 30.0', 'input_a == 9')",2,"('MR2_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
1597,"('MR2_input_b == 24.0', 'input_a == 8')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1598,"('MR2_input_a == 0.0', 'input_a == 0', 'input_b == 6')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1599,"('MR2_checker == No-violated', 'input_a == 0', 'input_b == 6')",3,"('MR2_input_a == 0.0',)",1,1.0,0.01,10.0,900000000.0
1600,"('MR2_checker == No-violated', 'MR2_input_a == 0.0', 'input_b == 6')",3,"('input_a == 0',)",1,1.0,0.01,10.0,900000000.0
1601,"('input_a == 0', 'input_b == 6')",2,"('MR2_checker == No-violated', 'MR2_input_a == 0.0')",2,1.0,0.01,11.111111111111112,910000000.0
1602,"('MR2_input_a == 0.0', 'input_b == 6')",2,"('MR2_checker == No-violated', 'input_a == 0')",2,1.0,0.01,11.111111111111112,910000000.0
1603,"('MR2_input_b == 18.0', 'input_b == 3')",2,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
1604,"('MR2_checker == No-violated', 'input_b == 3')",2,"('MR2_input_b == 18.0',)",1,1.0,0.1,10.0,900000000.0
1605,"('MR2_checker == No-violated', 'MR2_input_b == 18.0')",2,"('input_b == 3',)",1,1.0,0.1,10.0,900000000.0
1606,"('input_b == 3',)",1,"('MR2_checker == No-violated', 'MR2_input_b == 18.0')",2,1.0,0.1,10.0,900000000.0
1607,"('MR2_input_b == 18.0',)",1,"('MR2_checker == No-violated', 'input_b == 3')",2,1.0,0.1,10.0,900000000.0
1608,"('MR2_input_b == 30.0', 'input_a == 3', 'input_b == 5')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1609,"('MR2_checker == No-violated', 'input_a == 3', 'input_b == 5')",3,"('MR2_input_b == 30.0',)",1,1.0,0.01,10.0,900000000.0
1610,"('MR2_checker == No-violated', 'MR2_input_b == 30.0', 'input_a == 3')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
1611,"('input_a == 3', 'input_b == 5')",2,"('MR2_checker == No-violated', 'MR2_input_b == 30.0')",2,1.0,0.01,10.0,900000000.0
1612,"('MR2_input_b == 30.0', 'input_a == 3')",2,"('MR2_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
1613,"('MR2_input_a == 36.0', 'MR2_input_b == 30.0', 'input_b == 5')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1614,"('MR2_checker == No-violated', 'MR2_input_a == 36.0', 'input_b == 5')",3,"('MR2_input_b == 30.0',)",1,1.0,0.01,10.0,900000000.0
1615,"('MR2_checker == No-violated', 'MR2_input_a == 36.0', 'MR2_input_b == 30.0')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
